level_,method_,moves_avg,moves_std,time_avg,execution_time_std,nodes_expanded_avg,nodes_expanded_std,frontier_size_avg,frontier_size_std
1,astar_h1_heuristic,3.0,0.0,0.0007217168807982999,0.0004999006549933004,4.0,0.0,8.0,0.0
1,astar_h2_heuristic,3.0,0.0,0.00061140060424802,0.0005270716891324751,4.0,0.0,8.0,0.0
1,astar_h3_heuristic,3.0,0.0,0.00090880393981929,0.0006207110251718284,4.0,0.0,8.0,0.0
1,astar_h4_heuristic,3.0,0.0,0.18235635757446284,0.01849492579182893,695.0,0.0,48.0,0.0
1,bfs_nan,3.0,0.0,0.0006248831748962051,0.0004828598768996755,13.0,0.0,11.0,0.0
1,dfs_nan,3.0,0.0,0.0001668334007263083,0.00038964248964635026,4.0,0.0,8.0,0.0
1,greedy_h1_heuristic,3.0,0.0,0.00040214061737057995,0.0005191828176245953,4.0,0.0,8.0,0.0
1,greedy_h2_heuristic,3.0,0.0,0.0008250236511230099,0.0006450440416578336,4.0,0.0,8.0,0.0
1,greedy_h3_heuristic,3.0,0.0,0.0005123853683471501,0.00054076042862909,4.0,0.0,8.0,0.0
1,greedy_h4_heuristic,3.0,0.0,0.3343684434890747,0.04542587665938108,1214.0,0.0,17.0,0.0
2,astar_h1_heuristic,31.0,0.0,2.051005721092224,0.5764875321772132,3998.0,0.0,666.0,0.0
2,astar_h2_heuristic,31.0,0.0,1.2396386384963989,0.05611365585369904,2717.0,0.0,455.0,0.0
2,astar_h3_heuristic,31.0,0.0,0.7083095788955689,0.06368684120173386,1529.0,0.0,429.0,0.0
2,astar_h4_heuristic,33.0,0.0,3.9499879837036134,0.5813685731519895,8088.0,0.0,216.0,0.0
2,bfs_nan,31.0,0.0,0.9058832406997681,0.26991912337417356,6552.0,0.0,354.0,0.0
2,dfs_nan,115.0,0.0,0.10974011421203608,0.025797711317932414,3066.0,0.0,99.0,0.0
2,greedy_h1_heuristic,43.0,0.0,0.432834267616272,0.062399870554756626,674.0,0.0,828.0,0.0
2,greedy_h2_heuristic,39.0,0.0,2.0319092750549315,0.04569459287968108,6281.0,0.0,144.0,0.0
2,greedy_h3_heuristic,33.0,0.0,0.33430202007293697,0.020982956014768565,941.0,0.0,351.0,0.0
2,greedy_h4_heuristic,43.0,0.0,4.809573864936828,0.08682581599707101,13079.0,0.0,312.0,0.0
3,astar_h1_heuristic,29.0,0.0,348.6972844600677,755.7664658414124,61393.0,0.0,24735.0,0.0
3,astar_h2_heuristic,29.0,0.0,3.9579705953598023,0.320165829459917,6503.0,0.0,2709.0,0.0
3,astar_h3_heuristic,29.0,0.0,2.702940249443054,0.3450182838956368,4325.0,0.0,2495.0,0.0
3,astar_h4_heuristic,42.0,0.0,153.8564085006714,14.105053974978256,191256.0,0.0,30086.0,0.0
3,bfs_nan,29.0,0.0,486.64391300678255,18.78424437820421,93733.0,0.0,23004.0,0.0
3,dfs_nan,1531.0,0.0,1614.9500094890595,2644.0626686817404,877812.0,0.0,983.0,0.0
3,greedy_h1_heuristic,113.0,0.0,463.95589118003846,36.41028214912227,350473.0,0.0,255170.0,0.0
3,greedy_h2_heuristic,86.0,0.0,71.39074830575423,8.136713184615276,84878.0,0.0,1792.0,0.0
3,greedy_h3_heuristic,29.0,0.0,0.013674187660217241,0.014762216019347517,45.0,0.0,48.0,0.0
3,greedy_h4_heuristic,122.0,0.0,443.6530411243439,66.11409324601408,458913.0,0.0,30684.0,0.0
